timestamp,in_rate,out_rate
1731898267,11.719163566726378,16.30898273160991
1731898268,14.399651127822414,14.927188922006888
1731898269,28.173285086261643,9.552335122747744
1731898270,19.53948831351276,10.719970499913853
1731898271,18.170242260951976,9.786628645397803
1731898272,21.563775402961767,24.05510949614727
1731898273,22.642483384004983,15.547397291827153
1731898274,14.104548970830326,12.134508821338319
1731898275,16.485051738022783,18.908747582618965
1731898276,11.08799687968574,17.106206571249466
1731898277,28.202558238908452,19.813067218622532
1731898278,17.964687177664423,12.683681369536334
1731898279,20.79955676719309,23.817457413880092
1731898280,24.54471711072257,12.517113004775904
1731898281,25.587143129347613,15.779509735313916
1731898282,14.350868445945697,12.326127952204189
1731898283,29.83968483903315,8.564454009842832
1731898284,15.438032482296794,10.750169272255512
1731898285,15.414678868710839,9.01357890120082
1731898286,14.1697960137423,12.158446171223744
1731898287,29.298983696000025,14.57969941522566
1731898288,24.71181049311198,10.839446773671867
1731898289,24.923252286802402,22.50220938132734
1731898290,19.55624323082564,8.386080920318143
1731898291,26.279053481280243,12.025680583527055
1731898292,23.073813155265526,20.330839509163713
1731898293,10.614296607376978,9.66166868995601
1731898294,23.28528667259039,23.14624341285839
1731898295,26.153242632762407,24.04591355757077
1731898296,15.465486909863266,23.612615156150344
1731898297,26.492002809615663,14.68794216929137
1731898298,11.23824830049466,16.056512954802606
1731898299,11.331629424941681,8.791298882646405
1731898300,25.81528577671709,18.280211541273857
1731898301,13.809047569639354,9.552887225370428
1731898302,20.481961466478914,16.522328439649577
1731898303,15.19422716902678,16.487317345211068
1731898304,10.842163399372822,9.974840763608325
1731898305,12.28006202789269,17.77514251577047
1731898306,15.193987810992928,14.002806871023138
1731898307,11.166668754135184,9.521246661031373
1731898308,23.23259158350798,11.847426612443792
1731898309,14.045551000660947,18.282382591573445
1731898310,27.264759086493058,18.875598987442245
1731898311,16.163199993625987,23.35901554513759
1731898312,12.646114603583827,18.93675694973903
1731898313,20.042728346108362,8.981594976372799
1731898314,15.04452103979234,22.421539960278885
1731898315,17.023480491451863,15.809571271874217
1731898316,25.63409376815185,12.274985001408883
1731898317,28.209839657952347,23.420863945772844
1731898318,23.87328625978679,8.986229330516768
1731898319,25.229018793869184,20.299152354155492
1731898320,20.830659961490355,15.628611054984084
1731898321,26.976137094518084,12.27870551741239
1731898322,10.746940055109903,11.592335025815203
1731898323,26.122528671827936,15.247792277692156
1731898324,28.143693180493162,18.423634727669246
1731898325,15.559098381775387,24.734560616489716
1731898326,26.302791884527117,19.860978641332515
1731898327,56.61952433823556,17.17948619074546
1731898328,40.199478774921175,5.646046788632544
1731898329,52.343408245412405,16.926648632159672
