timestamp,queue_length
1731898267,1.2063548339625938
1731898268,1.7384220516721838
1731898269,1.917546914707711
1731898270,4.022421751836163
1731898271,3.8279034226498654
1731898272,4.843077460674757
1731898273,2.5345501480311903
1731898274,3.8202888744134986
1731898275,3.812047305018476
1731898276,2.302628253129762
1731898277,1.2262902876536144
1731898278,1.1213093202927071
1731898279,3.479534330977641
1731898280,3.0855624004027433
1731898281,4.273268111068548
1731898282,2.155542413795178
1731898283,4.994084306217605
1731898284,2.11071491950957
1731898285,1.3274676848718387
1731898286,1.0457618458057785
1731898287,4.650871239754764
1731898288,4.426849626513162
1731898289,2.842126546523225
1731898290,1.5585731717263465
1731898291,4.281435599973103
1731898292,2.974776905213963
1731898293,1.1821516816869488
1731898294,2.55480271677137
1731898295,2.240885193307953
1731898296,4.695348751341035
1731898297,2.5997604956420246
1731898298,1.8798132916276638
1731898299,3.263211874898216
1731898300,1.9206375407721987
1731898301,2.11895537566514
1731898302,2.385060176541292
1731898303,3.77129487746274
1731898304,4.809741758581975
1731898305,1.4524436934024858
1731898306,1.4467293064966822
1731898307,2.8986747874511787
1731898308,1.2644825343349013
1731898309,4.984313036390506
1731898310,3.6500545632321657
1731898311,3.261951174331946
1731898312,4.665621696660338
1731898313,3.6817486515509468
1731898314,3.095506238051377
1731898315,4.177548111726912
1731898316,1.6480209541817352
1731898317,2.9328840224452932
1731898318,2.3600061469709885
1731898319,3.3256017443764523
1731898320,3.7067711699584627
1731898321,1.3823964966003386
1731898322,1.7531152783176003
1731898323,1.7380449704856367
1731898324,4.031842216832041
1731898325,3.813926554307578
1731898326,1.8200588794925943
1731898327,13.874432714624561
1731898328,16.12867651300671
1731898329,12.65179530138242
1731898330,6.452453580765516
1731898331,12.858808823365422
1731898332,4.829384432411816
1731898333,10.047318844082493
1731898334,15.793741790880134
1731898335,10.523288606885504
1731898336,16.229449948626307
1731898337,12.040490969083589
1731898338,15.390767644455902
1731898339,16.098361700680954
1731898340,4.534473119978966
1731898341,7.266990690843253
1731898342,17.830481063889707
1731898343,18.694796959619246
1731898344,19.127184948304414
1731898345,18.16462073163004
1731898346,15.172827407235827
1731898347,18.15409131218503
1731898348,14.303336856455639
1731898349,15.950282499915781
1731898350,19.83436282488003
1731898351,10.446793215971773
1731898352,13.27055968414394
1731898353,13.270701938709049
1731898354,16.862907244542306
1731898355,15.191240497484493
1731898356,5.01111437314704
1731898357,18.956980494323346
1731898358,2.4783612779019824
1731898359,3.8998830785671834
1731898360,3.6461003204212434
1731898361,3.990610530814257
1731898362,2.844780791902853
1731898363,1.7479245646869543
1731898364,3.0264768238493285
1731898365,1.232077863260042
1731898366,2.7657434638504683
1731898367,3.134950922514972
1731898368,3.0367880509684664
1731898369,3.7599132142960143
1731898370,4.019763954007403
1731898371,3.513582858637792
1731898372,3.39160552897816
1731898373,3.531428671717113
1731898374,2.724465159100242
1731898375,4.824969512499701
1731898376,2.096860312215697
1731898377,3.9611563061650545
1731898378,1.7517864853882443
1731898379,3.600959203972012
1731898380,3.804940863959023
1731898381,3.997499607573986
1731898382,3.7300845107066074
1731898383,4.8304604691943505
1731898384,3.9835543828498143
1731898385,3.2703062933944733
1731898386,4.592792116264198
1731898387,3.67943423032441
1731898388,2.203424968856854
1731898389,2.775056525660001
1731898390,3.4856178449452266
