timestamp,method,url,response_time,is_bottleneck,queue_length,cpu_utilization,memory_usage
1731896133545,GET,/main.html,51,False,1,50.73,278.69
1731896133565,GET,/main.html,132,False,4,30.86,378.8
1731896133585,GET,/main.html,659,True,11,60.55,1418.64
1731896133605,GET,/main.html,149,False,3,58.03,184.44
1731896133625,GET,/main.html,786,True,28,76.91,662.38
1731896133645,GET,/main.html,129,False,1,50.83,134.97
1731896133665,GET,/main.html,71,False,0,35.29,125.93
1731896133685,GET,/main.html,130,False,1,58.25,479.4
1731896133705,GET,/main.html,57,False,4,45.81,447.13
1731896133725,GET,/main.html,85,False,5,51.58,129.7
1731896133745,GET,/main.html,53,False,3,57.57,449.57
1731896133765,GET,/main.html,86,False,3,35.37,461.64
1731896133785,GET,/main.html,77,False,1,41.49,357.94
1731896133805,GET,/main.html,116,False,5,35.14,306.58
1731896133825,GET,/main.html,141,False,2,45.61,414.65
1731896133845,GET,/main.html,137,False,5,31.72,249.46
1731896133865,GET,/main.html,146,False,2,41.0,464.22
1731896133885,GET,/main.html,61,False,0,49.03,299.49
1731896133905,GET,/main.html,141,False,1,59.32,117.49
1731896133925,GET,/main.html,115,False,4,40.92,320.3
1731896133945,GET,/main.html,660,True,19,51.64,689.72
1731896133965,GET,/main.html,70,False,0,30.9,277.7
1731896133985,GET,/main.html,426,False,0,52.17,360.79
1731896134005,GET,/main.html,78,False,0,44.21,377.26
1731896134025,GET,/main.html,133,False,1,53.71,105.19
1731896134045,GET,/main.html,85,False,3,41.29,230.99
1731896134065,GET,/main.html,101,False,1,43.46,123.74
1731896134085,GET,/main.html,66,False,5,30.59,461.43
1731896134105,GET,/main.html,130,False,2,54.37,459.37
1731896134125,GET,/main.html,71,False,4,48.97,289.52
1731896134145,GET,/main.html,55,False,5,37.68,362.22
1731896134165,GET,/main.html,57,False,4,39.36,403.54
1731896134185,GET,/main.html,138,False,2,35.52,397.08
1731896134205,GET,/main.html,96,False,2,41.47,106.86
1731896134225,GET,/main.html,76,False,3,35.17,481.25
1731896134245,GET,/main.html,107,False,3,55.09,332.87
1731896134265,GET,/main.html,63,False,4,35.13,210.82
1731896134285,GET,/main.html,142,False,1,49.15,390.47
1731896134305,GET,/main.html,106,False,2,52.25,186.38
1731896134325,GET,/main.html,124,False,0,53.94,279.7
1731896134345,GET,/main.html,61,False,2,57.68,282.0
1731896134365,GET,/main.html,62,False,0,33.28,122.57
1731896134385,GET,/main.html,124,False,3,53.9,174.34
1731896134405,GET,/main.html,76,False,4,50.08,141.4
1731896134425,GET,/main.html,128,False,1,51.11,260.64
1731896134445,GET,/main.html,124,False,3,52.53,345.52
1731896134465,GET,/main.html,115,False,0,57.14,446.79
1731896134485,GET,/main.html,583,True,12,60.86,867.93
1731896134505,GET,/main.html,64,False,5,53.69,494.09
1731896134525,GET,/main.html,135,False,3,55.72,229.2
1731896134545,GET,/main.html,83,False,1,48.5,230.09
1731896134565,GET,/main.html,89,False,4,51.96,255.03
1731896134585,GET,/main.html,132,False,3,52.65,104.85
1731896134605,GET,/main.html,62,False,1,37.1,458.53
1731896134625,GET,/main.html,443,False,5,58.38,309.21
1731896134645,GET,/main.html,97,False,5,57.67,344.18
1731896134665,GET,/main.html,130,False,1,45.92,374.27
1731896134685,GET,/main.html,89,False,1,58.26,182.57
1731896134705,GET,/main.html,60,False,5,30.24,152.68
1731896134725,GET,/main.html,579,True,13,80.11,1462.31
1731896134745,GET,/main.html,114,False,5,33.26,471.6
1731896134765,GET,/main.html,91,False,3,53.1,451.47
1731896134785,GET,/main.html,87,False,4,37.29,248.17
1731896134805,GET,/main.html,98,False,5,52.09,241.05
1731896134825,GET,/main.html,138,False,2,35.64,129.44
1731896134845,GET,/main.html,148,False,5,31.68,428.15
1731896134865,GET,/main.html,61,False,0,43.12,419.73
1731896134885,GET,/main.html,61,False,4,49.29,113.16
1731896134905,GET,/main.html,52,False,2,59.44,341.38
1731896134925,GET,/main.html,145,False,4,42.27,465.08
1731896134945,GET,/main.html,69,False,2,35.19,414.51
1731896134965,GET,/main.html,132,False,0,33.16,252.18
1731896134985,GET,/main.html,132,False,4,43.21,433.75
1731896135005,GET,/main.html,102,False,3,43.22,129.26
1731896135025,GET,/main.html,86,False,0,35.28,474.75
1731896135045,GET,/main.html,516,True,29,75.56,1296.19
1731896135065,GET,/main.html,427,False,4,46.48,268.26
1731896135085,GET,/main.html,91,False,5,34.11,265.29
1731896135105,GET,/main.html,564,True,23,50.55,615.25
1731896135125,GET,/main.html,100,False,4,32.51,172.05
1731896135145,GET,/main.html,68,False,2,41.11,270.8
1731896135165,GET,/main.html,78,False,5,51.85,240.19
1731896135185,GET,/main.html,101,False,0,42.26,488.13
1731896135205,GET,/main.html,143,False,1,45.15,357.38
1731896135225,GET,/main.html,761,True,18,58.67,1191.07
1731896135245,GET,/main.html,72,False,3,41.1,475.76
1731896135265,GET,/main.html,86,False,3,34.38,119.13
1731896135285,GET,/main.html,90,False,4,38.56,331.64
1731896135305,GET,/main.html,79,False,4,44.62,452.96
1731896135325,GET,/main.html,145,False,0,49.88,440.5
1731896135345,GET,/main.html,50,False,1,37.12,400.91
1731896135365,GET,/main.html,447,False,1,51.76,142.89
1731896135385,GET,/main.html,93,False,4,37.91,396.74
1731896135405,GET,/main.html,55,False,5,42.3,498.39
1731896135425,GET,/main.html,50,False,3,44.89,223.46
1731896135445,GET,/main.html,68,False,0,40.78,354.99
1731896135465,GET,/main.html,150,False,4,44.5,159.32
1731896135485,GET,/main.html,106,False,2,57.15,453.86
1731896135505,GET,/main.html,128,False,1,50.71,453.11
1731896135525,GET,/main.html,94,False,0,50.65,391.91
