Time KBIn PktIn KBOut PktOut KBIn_Rate PktIn_Rate KBOut_Rate PktOut_Rate
1732813732546 850.912165095155 2974.0923949191842 134.07265425135307 4257.92824516441 351.13643532629465 531.6398473199067 445.18040482361744 1854.7027006354808
1732813733546 741.3721792039987 2324.653727199975 159.3178261738754 647.4837670615061 301.5439417298742 733.7792704775359 360.09812181965583 332.9026795865944
1732813734546 521.6340703686126 1208.7986021333381 361.9909819304842 3432.553215978592 405.83451143833116 2009.9851894042256 253.61782695735724 1080.6971954005628
1732813735546 593.3216197839 4444.383726612079 610.7051289545727 4272.585934926244 299.84919542139096 1476.561135028411 70.6187903446428 1817.2041180299277
1732813736546 570.9170351384598 3939.1141818604224 475.06766887858004 2831.944964277631 301.5105277078394 926.9578774529114 175.23753151188538 1489.5230190302022
1732813737546 529.8412919539265 2328.695361024283 957.5363496253757 4503.476116820175 101.77981215753296 687.9264769624276 330.0484786421453 2354.9527840925675
1732813738546 142.1053462986463 1848.135991327939 625.3534841210037 521.1064205503607 228.91414815162724 1355.0261935815704 307.46753420026096 989.1600116439873
1732813739546 140.98652685491172 1856.4506158439258 613.3346063585151 4133.481633522128 278.4892404943023 886.3180959353406 456.7802924951095 468.92942192359214
1732813740546 280.2569467598812 3511.4651858564353 693.1619577615212 1751.0491785766042 328.3957215523317 794.3671862665908 150.5683345826698 360.29751536371646
1732813741546 488.5223052850118 4197.556042863276 124.53555454180484 808.8325824600472 493.10754743561154 1115.607842484451 62.16940525851878 1198.3557429786083
1732813742546 537.3047311381514 1515.3990857361298 720.4455690996036 860.8114151467573 473.7784597972108 1288.7956391631103 230.18557820283962 1698.9679810507596
1732813743546 817.5084268913017 3542.658590816223 448.03887329031545 3495.962350346215 422.3907497214313 269.08160327658686 247.9793176728531 1420.8590861819926
1732813744546 841.1089856552727 4392.3087763921485 789.6627588933103 3288.3729666447744 203.68014002153387 1173.936354411216 173.05373670024693 781.4737385042747
1732813745546 699.7546644587578 4678.846356610888 569.9994475033557 752.7681256839589 480.7851832032686 1030.7185813190154 288.1590147116518 2457.1964929216824
1732813746546 746.4565361846085 4636.876613870758 373.9825669248786 4967.1926192885285 204.0135390965656 1166.7246609214353 447.83250830516624 1279.599222915423
1732813747546 575.7678514051586 4194.897336200633 914.7539885320341 1129.8970876042458 293.0823432297518 1377.6201118973274 427.94380449521947 783.597887568008
1732813748546 437.5207122418443 2379.509042302487 394.75357618946737 3029.0192541887322 434.59811180223517 985.5309359021043 366.5218902295583 2099.802177451086
1732813749546 334.7378645353913 4245.033961871826 831.7312679105552 1451.6131688921948 332.2350463620828 1181.6894428010742 153.43055119711363 1610.4636006593435
1732813750546 836.0377087526219 3771.7153753889297 802.062533987423 4881.314975858294 386.2077695069106 2334.221456936148 238.67451040027856 258.44194385223676
1732813751546 380.4523314467691 4657.020760772246 473.0281193171834 4604.933608221132 69.52415208732025 1964.5404428141494 315.3576356271738 1828.6423082461984
1732813752546 363.282025769417 2302.1139579661794 837.1532187003216 3226.6750128175413 192.72713591112372 1883.6244591246605 224.00742150568107 417.91659979599115
1732813753546 893.666785759352 4824.996160527041 863.3849498051208 4509.151679639088 298.40946421569754 1111.4522878612522 457.69110310178206 1918.3954406580485
1732813754546 268.96801652820824 1189.9186949232833 725.910679327554 1873.4134204527506 483.96077695323964 552.1623720443581 430.28929998553934 1004.1683368445488
1732813755546 227.29662436233923 2564.6615522943425 397.7423419886851 4912.457508433443 251.19939851360567 1837.0624936196104 195.6904155778986 582.3201918585949
1732813756546 278.418803181886 1676.3473198562533 704.7843255441812 947.5004774255351 338.76850937287156 713.649161884731 300.1247288471334 1456.8454019663916
1732813757546 153.24746961815038 4218.625863271454 523.1597822692826 4321.302679091941 364.0352198071306 1104.3203591972347 314.6516497345341 1256.6593378001903
1732813758546 138.08178420149332 4750.910736396819 227.59642546771352 926.0654822277218 423.8430339445564 2455.493558857783 335.3729698824695 1952.2476870461342
1732813759546 663.8990185597137 2572.9960439307524 262.1826089301768 3086.1464678558564 456.429146567439 1752.946456046294 157.26648057818335 1498.7793694259155
1732813760546 709.3450919892175 3702.3817986714507 461.7089219885672 1533.6446939103535 202.3724721716777 744.8392445113527 317.3501298603053 2462.608192934624
1732813761546 691.3632175170513 3639.942682999126 809.6728711982117 1918.6389036141277 221.27568055134714 2133.0626810852 449.6916028315208 930.7015859422507
1732813762546 660.2876432130171 3534.753058610151 794.1280591756164 1120.3944651028614 397.99897171678504 1358.6276632966528 89.55495094983391 841.2839095031364
1732813763546 252.7396884154075 4079.006983626617 906.6850900231453 3371.2905657608158 385.9907187312688 2049.624059872187 437.920301718292 329.6679106145872
1732813764546 728.3097346724194 571.2768897855213 165.30263139082086 2152.512244395515 489.305908822964 1407.1974177294674 245.69717084651535 2103.9711582501377
1732813765546 247.45942712356413 3362.660856211682 203.04697327944973 1541.166329860461 386.8649744159093 884.9924377673245 432.08101534792183 2312.2538943233026
1732813766546 316.4694047756658 1032.9927861598044 336.6587731619687 1013.7859379314021 381.0558830652246 340.48460864968513 461.72817678595 1283.404410685362
1732813767546 561.8786763369476 2836.4997936624395 880.4691591681411 4719.474524608755 181.75021873739536 570.3779714314903 452.32134517349505 274.589340642966
1732813768546 467.26298250351675 3098.739807102746 117.59011493076514 1040.9576286779984 494.36524494182515 2396.021750152593 188.2135736607106 2309.996143514885
1732813769546 931.1733823632136 4295.373474845483 137.45614264478195 4311.273824163087 317.69217555526285 497.19373841833385 156.59009983244192 1707.6258965878528
1732813770546 744.4893779002302 4816.73786301385 156.32347988520104 1435.5856997411875 161.48743416665735 2027.750447333861 365.1446575030446 974.8479372277214
1732813771546 413.1220717019946 2943.2084470985 630.6672903694838 2855.675820981547 66.88948714645196 671.3763558546231 228.95623705214553 1298.4341565187
1732813772546 863.469046355467 4445.118414458337 418.8071930263952 549.0608035306242 496.51505772895985 1972.4152066977294 211.02368705999135 1814.092522448159
